roll_no,grade,name,points,school,section,friends,updated_at
23,10,Lloyd Koch,51,School 1,Section Section 1,"217, 278, 676, 708, 733, 865",2023-06-02 17:19:08.822260+00:00
24,11,Cale Lang,17,School 1,Section Section 2,"136, 245, 265, 644, 689",2023-07-20 16:03:22.823640+00:00
25,10,Lura Ortiz,27,School 1,Section Section 4,"40, 822",2023-06-24 19:08:51.825026+00:00
26,12,Tina Smith,25,School 1,Section Section 2,"12, 384, 561, 667, 793, 839, 911",2023-07-19 04:06:38.826516+00:00
27,9,Dena Purdy,70,School 1,Section Section 1,"140, 151, 564, 573, 616",2023-06-11 05:52:10.827929+00:00
28,11,Avery Batz,36,School 1,Section Section 1,"45, 110, 375, 668, 685, 688, 691, 927",2023-07-05 03:35:39.829639+00:00
29,11,Velva Lind,12,School 1,Section Section 3,"1, 68, 112, 194, 466, 788, 837",2023-07-05 11:50:05.831188+00:00
30,11,Mia Mraz,43,School 1,Section Section 3,"740, 745",2023-06-18 17:42:26.832651+00:00
31,11,Felipa Von,52,School 1,Section Section 2,"225, 265, 721, 870, 995",2023-06-11 21:25:28.834179+00:00
32,12,Nakia Hane,29,School 1,Section Section 2,"18, 44, 177, 425, 553, 588, 630, 682, 707, 811, 962",2023-06-05 14:09:52.835587+00:00
33,10,Tom Lakin,40,School 1,Section Section 4,"90, 350, 394, 453, 492, 550, 851, 998",2023-06-17 03:25:07.837042+00:00
34,12,Angie Beer,26,School 1,Section Section 1,"155, 179, 181, 454, 558",2023-06-01 06:40:09.838505+00:00
35,12,Ari Feeney,47,School 1,Section Section 3,"20, 82, 129, 298, 300, 355, 720, 902, 972",2023-06-22 08:14:13.839884+00:00
36,10,Elena Lind,50,School 1,Section Section 2,"6, 58, 111, 204, 236, 427, 637, 925, 955",2023-07-16 23:45:23.841320+00:00
37,11,Cale Lang,97,School 1,Section Section 1,"546, 547, 800, 832, 958",2023-06-06 16:11:19.842885+00:00
38,9,Ted Rogahn,74,School 1,Section Section 2,"382, 413, 543, 660, 683",2023-07-19 02:31:37.844259+00:00
39,9,Rod Carter,34,School 1,Section Section 3,"113, 377, 412, 752, 780, 915, 949, 968",2023-06-06 08:31:18.845649+00:00
40,10,Kody Morar,95,School 1,Section Section 4,"25, 229, 792",2023-07-09 14:27:01.847118+00:00
41,12,Wendy Mohr,64,School 1,Section Section 3,"271, 335, 702, 837",2023-07-04 01:20:04.848502+00:00
42,12,Niko Bosco,95,School 1,Section Section 2,"116, 372, 607, 753, 875, 926, 950, 966",2023-06-07 15:11:37.849922+00:00
43,10,Ryley Beer,89,School 1,Section Section 1,"301, 337, 527, 546, 562, 591, 704, 744, 848",2023-06-18 12:51:43.851295+00:00
44,12,Vida Wyman,84,School 1,Section Section 3,"32, 51, 230, 288, 347, 490, 628, 774, 812, 973",2023-07-14 10:55:13.852825+00:00
45,10,Fleta Batz,24,School 1,Section Section 1,"8, 28, 79, 107, 231, 327, 376, 539, 716",2023-05-26 21:25:38.854412+00:00
46,9,Roel Jones,52,School 1,Section Section 3,"120, 297, 534, 691, 742, 822, 998",2023-06-11 09:55:01.855809+00:00
47,11,Rae Mills,85,School 1,Section Section 1,"264, 456, 647, 671, 735, 987",2023-05-30 16:34:15.857248+00:00
48,11,Franz Huel,13,School 1,Section Section 1,"82, 123, 147, 298, 389, 420, 518, 912",2023-06-19 02:10:42.858684+00:00
49,11,Tod Hintz,50,School 1,Section Section 3,"253, 319, 386, 440, 601, 791, 871, 951",2023-07-08 20:08:01.860058+00:00
50,11,Lia Ferry,22,School 1,Section Section 3,"329, 332, 478, 692, 737",2023-06-04 21:42:16.861452+00:00
51,10,Jose Nolan,74,School 1,Section Section 1,"44, 220, 270, 539, 569, 599, 650, 892",2023-07-05 08:34:26.862900+00:00
52,12,Elena Lind,42,School 1,Section Section 3,"272, 398, 520, 542, 687, 692, 867, 927, 964",2023-06-10 08:45:32.864303+00:00
53,9,Brad Walsh,52,School 1,Section Section 4,"133, 460, 561, 653, 881, 889, 893, 980",2023-06-05 10:01:58.865997+00:00
54,9,Ted Rogahn,47,School 1,Section Section 2,"125, 203, 637, 853",2023-05-31 01:35:16.867651+00:00
55,9,Tiana Ward,63,School 1,Section Section 4,"255, 279, 605, 669, 743, 841, 1000",2023-07-11 11:48:02.869217+00:00
56,9,Dee Hand,97,School 1,Section Section 1,"19, 420, 597, 815",2023-07-13 22:26:20.870943+00:00
57,10,Cory Roob,74,School 1,Section Section 2,"158, 353, 427, 621, 788, 796, 908",2023-06-15 19:49:55.872533+00:00
58,12,Dee Hand,48,School 1,Section Section 2,"36, 236, 253, 465, 497, 588",2023-07-19 23:27:14.874001+00:00
59,10,Tina Smith,43,School 1,Section Section 4,"67, 204, 267, 274, 778",2023-06-29 06:30:41.875823+00:00
60,10,Zane Runte,19,School 1,Section Section 3,"87, 139, 168, 241, 299, 354, 633, 750, 766, 907, 983",2023-06-22 21:03:32.877467+00:00
61,12,Ana Metz,62,School 1,Section Section 4,"276, 477, 624",2023-07-20 04:25:52.879025+00:00
62,10,Dixie Beer,88,School 1,Section Section 1,"15, 228, 269, 497, 597, 685, 827, 944, 963",2023-06-16 00:41:19.880867+00:00
63,12,Bell Walsh,80,School 1,Section Section 3,"178, 310, 506, 811, 984, 985, 991",2023-07-15 16:56:13.882486+00:00
64,11,Eva Hammes,11,School 1,Section Section 1,"10, 517, 591, 726, 855",2023-06-15 02:44:06.889016+00:00
65,12,Gabe Stamm,28,School 1,Section Section 1,"601, 784",2023-06-28 11:59:23.890463+00:00
66,11,Josie Rau,13,School 1,Section Section 3,"487, 594, 766, 899, 991",2023-07-10 23:42:17.893578+00:00
67,11,Keanu Yost,90,School 1,Section Section 3,"59, 278, 424, 538, 649, 678, 696, 889, 931",2023-06-15 21:40:19.895073+00:00
68,10,Eva Hammes,72,School 1,Section Section 1,"29, 146, 361, 400, 402, 594, 633, 644, 782, 952",2023-06-24 15:51:00.896569+00:00
69,9,Vada Koss,50,School 1,Section Section 3,"520, 751, 807, 877, 900",2023-06-02 07:17:16.898080+00:00
70,9,Dee Rau,30,School 1,Section Section 2,"173, 211, 556, 708, 747, 908, 989",2023-07-04 21:39:06.899561+00:00
71,9,Deja Lemke,77,School 1,Section Section 4,"149, 235, 399, 410, 604, 780, 804, 954",2023-07-10 19:19:17.901049+00:00
72,11,Dena Purdy,90,School 1,Section Section 2,"125, 259, 505, 711, 908",2023-06-17 02:56:46.902490+00:00
73,10,Rex Jacobi,81,School 1,Section Section 4,"508, 899",2023-06-26 22:50:25.903902+00:00
74,9,Jade Kihn,10,School 1,Section Section 2,"148, 163, 405",2023-07-10 09:18:56.905273+00:00
75,11,Vita Price,20,School 1,Section Section 3,"22, 130, 131, 139, 656, 849",2023-07-09 02:10:24.906739+00:00
76,10,Kira Walsh,18,School 1,Section Section 4,"77, 155, 257, 304, 493, 500, 715, 770, 834, 928",2023-07-10 06:17:00.908186+00:00
77,11,Pat Hirthe,54,School 1,Section Section 4,"76, 271, 546, 663, 779, 784, 790, 820, 972",2023-05-30 13:39:25.909606+00:00
78,10,Pat Hirthe,14,School 1,Section Section 3,"367, 405, 557, 641, 863, 957",2023-07-01 01:07:16.911055+00:00
79,10,Felipa Von,18,School 1,Section Section 1,"13, 45, 353, 433, 485, 783, 811, 875, 975",2023-06-10 06:08:28.912608+00:00
80,10,Jan Little,68,School 1,Section Section 3,"149, 279, 514, 922",2023-05-31 02:55:10.914016+00:00
81,10,Avery Batz,36,School 1,Section Section 1,"12, 329, 458, 469, 693, 740, 798",2023-07-16 04:59:21.915414+00:00
82,12,Vida Wyman,11,School 1,Section Section 3,"35, 48, 358, 482, 506, 515, 832, 987, 993",2023-06-27 18:11:02.916935+00:00
83,10,Dena Purdy,57,School 1,Section Section 2,"202, 275, 572",2023-06-16 00:56:51.918375+00:00
84,12,Dovie Jast,4,School 1,Section Section 3,"90, 365, 624, 688, 700, 913",2023-06-30 11:01:40.919794+00:00
85,10,Elena Lind,16,School 1,Section Section 1,"257, 448, 451, 452, 684, 853",2023-07-08 00:14:28.921389+00:00
86,9,Kira Walsh,4,School 1,Section Section 4,"90, 103, 337, 385, 734, 767, 859",2023-06-21 13:49:36.922874+00:00
87,9,Erna Huels,92,School 1,Section Section 1,"60, 305, 366, 568, 781",2023-06-10 17:52:59.924293+00:00
88,9,Aylin Kihn,70,School 1,Section Section 3,"141, 148, 547, 784, 862, 879, 968",2023-06-08 11:18:46.925867+00:00
89,9,Adan Rohan,22,School 1,Section Section 3,"235, 274, 456, 523",2023-06-22 14:06:23.927384+00:00
90,11,Josie Rau,70,School 1,Section Section 2,"33, 84, 86, 98, 156, 211, 341, 564, 945",2023-07-20 00:33:36.928772+00:00
91,11,Keanu Yost,51,School 1,Section Section 2,"196, 391, 476, 510, 769",2023-07-01 03:15:46.930373+00:00
92,10,Niko Bosco,60,School 1,Section Section 3,"16, 490, 994",2023-06-22 12:00:08.931958+00:00
93,10,Fleta Batz,68,School 1,Section Section 2,"107, 204, 295, 405, 424, 691, 731, 836, 862, 936, 998",2023-06-18 14:09:10.933458+00:00
94,11,Tina Smith,53,School 1,Section Section 3,"316, 521, 719, 854",2023-06-14 21:50:17.934860+00:00
95,10,Devin Mann,75,School 1,Section Section 2,"465, 828",2023-07-23 08:08:05.936382+00:00
96,9,Myra Runte,67,School 1,Section Section 3,"126, 250, 450, 476, 562, 572",2023-07-24 03:31:36.937861+00:00
97,11,Ryley Beer,41,School 1,Section Section 4,"530, 585, 981",2023-07-07 20:14:26.939271+00:00
98,11,Eva Lakin,79,School 1,Section Section 3,"90, 886, 902, 910",2023-06-15 18:09:16.940673+00:00
99,10,Avery Batz,32,School 1,Section Section 1,"296, 586, 695, 748, 768, 922, 987",2023-06-27 16:56:56.942315+00:00
100,11,Bell Walsh,72,School 1,Section Section 4,"204, 283, 427, 790",2023-06-16 23:51:20.943729+00:00
101,10,Rex Jacobi,48,School 2,Section Section 1,"258, 397, 591, 612, 635, 656, 963, 997",2023-07-21 03:03:36.945129+00:00
102,12,Dee Hand,47,School 2,Section Section 1,"8, 204",2023-07-11 19:00:14.946539+00:00
103,12,Ted Rogahn,29,School 2,Section Section 4,"86, 142, 217, 377, 617, 634, 792, 805",2023-05-31 22:38:52.947988+00:00
104,12,Vidal King,62,School 2,Section Section 4,"17, 282, 427, 428, 462, 501, 853, 981",2023-05-31 05:21:01.949368+00:00
105,9,Eva Hammes,34,School 2,Section Section 4,"164, 480, 574, 670, 882, 941",2023-06-30 11:38:49.950806+00:00
106,10,Tom Jacobs,94,School 2,Section Section 1,"107, 182, 249, 266, 533, 902, 928, 956",2023-07-22 22:22:23.952173+00:00
107,12,Mina Feil,70,School 2,Section Section 3,"45, 93, 106, 449, 725, 756",2023-07-08 16:32:54.953586+00:00
108,11,Alba Bosco,49,School 2,Section Section 4,"10, 336, 359, 451, 497",2023-06-02 13:21:11.955290+00:00
109,12,Alba Bosco,8,School 2,Section Section 4,"186, 297, 776, 960",2023-05-29 14:09:20.956703+00:00
110,9,Nova Haag,24,School 2,Section Section 3,"7, 28, 117, 191, 445, 482, 502",2023-05-27 18:19:45.958093+00:00
111,11,Lura Ortiz,41,School 2,Section Section 3,"36, 245, 591, 627",2023-06-12 00:56:15.959714+00:00
112,12,Mia Mraz,98,School 2,Section Section 4,"29, 649, 781, 982, 985",2023-07-18 12:21:51.961189+00:00
113,11,Mara Crona,91,School 2,Section Section 1,"39, 267, 279, 413, 642, 667, 680, 941, 980",2023-06-16 18:37:49.962728+00:00
114,12,Tina Smith,88,School 2,Section Section 1,"233, 272, 300, 445, 641, 863",2023-07-12 00:14:27.964119+00:00
115,12,Velva Lind,12,School 2,Section Section 2,"9, 213, 340, 362, 463, 881",2023-06-19 22:53:10.965561+00:00
116,9,Dean Lang,98,School 2,Section Section 1,"42, 152, 188, 307, 408, 614",2023-06-21 04:56:13.967135+00:00
117,10,Kale Moen,12,School 2,Section Section 4,"110, 353, 555, 756",2023-07-15 22:58:56.968753+00:00
118,10,Dee Hand,91,School 2,Section Section 2,"129, 559, 700, 738, 835, 940, 982",2023-06-29 14:34:32.970366+00:00
119,10,Tiana Ward,51,School 2,Section Section 3,"309, 562, 699, 755, 821, 889",2023-05-27 22:11:16.971954+00:00
120,12,Ted Rogahn,18,School 2,Section Section 3,"46, 282, 683, 973",2023-07-09 12:42:27.973681+00:00
121,11,Lloyd Koch,66,School 2,Section Section 2,"192, 253, 311, 321, 347, 420, 596, 744, 821, 1000",2023-06-07 19:43:22.975172+00:00
122,9,Velva Rowe,21,School 2,Section Section 4,"350, 455, 473, 660, 883, 959",2023-07-25 01:17:01.976669+00:00
123,12,Fleta Batz,49,School 2,Section Section 2,"48, 133, 182, 274, 314, 418, 635, 642, 697",2023-07-23 01:18:18.978186+00:00
124,12,Larue Metz,79,School 2,Section Section 4,"137, 269, 466, 507",2023-06-24 08:05:03.979674+00:00
125,10,Ottis Torp,53,School 2,Section Section 4,"21, 54, 72, 997",2023-07-25 22:42:00.981249+00:00
126,12,Jan Little,71,School 2,Section Section 2,"7, 96, 677, 703",2023-07-08 04:48:25.982670+00:00
127,9,Wade Ebert,79,School 2,Section Section 4,"290, 418, 507, 711, 751, 754",2023-05-31 05:07:13.984068+00:00
128,10,Eva Hammes,40,School 2,Section Section 1,"195, 214, 226, 709, 819, 843, 875, 929",2023-06-11 15:19:29.985531+00:00
129,9,Velva Rowe,76,School 2,Section Section 3,"35, 118, 203, 451, 734, 859",2023-07-05 20:39:46.986984+00:00
130,10,Lura Ortiz,58,School 2,Section Section 4,"75, 192, 492, 601, 639, 657, 789, 888, 930, 997",2023-06-10 16:58:26.988419+00:00
131,12,Mia Mraz,41,School 2,Section Section 1,"75, 229, 241, 318, 439, 486, 795, 936, 960",2023-06-02 10:40:57.989802+00:00
132,12,Lura Ortiz,92,School 2,Section Section 4,"11, 183, 549, 635, 900",2023-06-27 17:50:03.991185+00:00
133,10,Luis Haley,47,School 2,Section Section 2,"53, 123, 201, 256, 419, 450, 483, 936",2023-07-17 23:15:56.992920+00:00
134,12,Pat Hirthe,13,School 2,Section Section 3,"238, 349, 509, 646, 746, 790, 960",2023-07-04 16:33:49.994319+00:00
135,10,Rod Carter,89,School 2,Section Section 3,"323, 617",2023-06-01 21:01:06.995769+00:00
136,11,Gabe Stamm,32,School 2,Section Section 4,"24, 498, 730, 887, 938, 940",2023-07-21 23:28:25.997314+00:00
137,9,Tom Jacobs,4,School 2,Section Section 3,"124, 226, 473, 481, 515, 638, 702",2023-05-28 12:42:01.998761+00:00
138,10,Wendy Mohr,61,School 2,Section Section 3,"235, 319, 450, 539, 548, 720, 742, 768, 789, 904",2023-06-10 17:06:34.000189+00:00
139,11,Kale Moen,0,School 2,Section Section 4,"60, 75, 277, 282, 859, 881, 944, 966, 995",2023-05-30 12:16:59.001632+00:00
140,11,Janae Mohr,64,School 2,Section Section 2,"27, 373, 459, 808, 894",2023-07-05 06:45:34.003032+00:00
141,12,Ayden Moen,59,School 2,Section Section 4,"88, 166",2023-06-11 19:55:35.004433+00:00
142,11,Eva Hammes,78,School 2,Section Section 1,"103, 390, 526, 760, 935, 979",2023-07-08 12:43:07.005905+00:00
143,10,Velva Rowe,69,School 2,Section Section 4,"289, 401, 912",2023-07-11 11:29:51.007290+00:00
144,11,Gabe Stamm,6,School 2,Section Section 2,"260, 519, 569",2023-06-19 13:45:34.008797+00:00
145,10,Dixie Beer,22,School 2,Section Section 4,"408, 933",2023-06-08 05:33:25.010301+00:00
146,10,Alene Hane,37,School 2,Section Section 2,"68, 260, 352, 372, 455, 595, 927, 928",2023-06-23 10:27:40.011703+00:00
147,11,Ottis Torp,10,School 2,Section Section 2,"6, 48, 624, 715, 762, 768, 976, 979, 986",2023-07-25 13:38:15.013248+00:00
148,11,Erna Huels,43,School 2,Section Section 2,"74, 88, 547, 620",2023-06-10 13:23:47.014630+00:00
149,9,Dovie Jast,53,School 2,Section Section 1,"71, 80, 576, 591, 608, 732, 806, 822",2023-07-03 22:52:06.016032+00:00
150,11,Franz Huel,7,School 2,Section Section 3,"436, 538, 818",2023-07-08 23:21:49.017669+00:00
151,11,Dee Hand,43,School 2,Section Section 1,"27, 285, 371, 398, 456, 607",2023-06-24 10:13:11.019068+00:00
152,9,Tiana Ward,19,School 2,Section Section 1,"116, 399, 581, 591, 625, 819",2023-05-26 18:26:10.020488+00:00
153,9,Ana Metz,97,School 2,Section Section 1,"250, 267, 297, 636, 819, 826, 891",2023-06-28 15:00:48.021985+00:00
154,11,Rod Carter,93,School 2,Section Section 3,"383, 564, 604, 612, 663",2023-06-04 09:12:04.023404+00:00
155,12,Josie Rau,18,School 2,Section Section 1,"34, 76, 565, 802, 894",2023-06-04 22:00:48.024907+00:00
156,10,Nico Dare,78,School 2,Section Section 1,"90, 358, 488, 756, 776, 887, 912",2023-06-02 22:12:56.026379+00:00
157,11,Myra Runte,79,School 2,Section Section 4,"292, 388, 884",2023-07-08 13:51:40.027792+00:00
158,9,Luis Haley,92,School 2,Section Section 1,"17, 57, 214, 233, 435, 478, 587",2023-07-21 21:23:23.029195+00:00
159,9,Jade Kihn,56,School 2,Section Section 4,"276, 364, 474, 878",2023-06-16 17:02:19.030684+00:00
160,11,Felipa Von,55,School 2,Section Section 1,"213, 233, 376, 378, 462, 620, 870, 878",2023-05-29 09:04:45.032289+00:00
161,9,Jose Nolan,57,School 2,Section Section 4,"275, 334, 445, 509, 532",2023-06-30 00:29:48.033719+00:00
162,12,Ana Metz,12,School 2,Section Section 2,"529, 752, 976",2023-07-09 14:49:21.035117+00:00
163,12,Velva Rowe,72,School 2,Section Section 1,"74, 231, 264, 765, 810, 846, 913",2023-07-12 21:49:22.036584+00:00
164,12,Niko Bosco,54,School 2,Section Section 2,"9, 105, 361, 490, 778, 877",2023-06-06 04:13:06.037983+00:00
165,12,Janae Mohr,72,School 2,Section Section 1,"6, 20, 210, 596",2023-07-05 16:38:43.039380+00:00
166,9,Ted Rogahn,56,School 2,Section Section 2,"141, 438, 445, 615, 857",2023-07-11 17:27:45.040914+00:00
167,9,Zane Runte,29,School 2,Section Section 2,"194, 272, 333, 449, 471, 517, 570, 664, 670, 751, 754",2023-07-25 13:21:08.042941+00:00
168,11,Josie Rau,65,School 2,Section Section 1,"60, 215, 972",2023-06-07 02:42:25.044359+00:00
169,9,Jose Nolan,53,School 2,Section Section 1,"191, 248, 459, 601",2023-06-18 02:36:35.046151+00:00
170,11,Gabe Stamm,28,School 2,Section Section 3,"554, 730",2023-06-26 21:51:22.047585+00:00
171,11,Bell Walsh,49,School 2,Section Section 4,"7, 521, 587, 660",2023-07-10 09:03:04.049038+00:00
172,9,Rae Mills,45,School 2,Section Section 2,"220, 249, 340, 453, 512, 841, 928, 956, 990",2023-05-27 17:02:56.050460+00:00
173,12,Kacey Mohr,34,School 2,Section Section 1,"70, 266, 487, 495, 584, 598, 616, 640, 669",2023-07-17 02:02:17.051864+00:00
174,10,Dovie Jast,3,School 2,Section Section 3,"223, 303, 390, 411, 789, 892, 962, 977, 998",2023-06-27 06:25:42.053317+00:00
175,11,Tom Jacobs,79,School 2,Section Section 4,"277, 446, 540, 545, 644, 713, 773",2023-07-08 07:29:26.054763+00:00
176,12,Aylin Kihn,55,School 2,Section Section 2,"231, 418",2023-06-12 18:51:29.056332+00:00
177,10,Dee Hand,89,School 2,Section Section 4,"32, 187, 590, 612, 918",2023-07-09 02:45:26.058296+00:00
178,12,Tom Lakin,68,School 2,Section Section 2,"63, 243, 269, 339, 526, 553, 564, 937, 998",2023-07-20 17:48:25.059855+00:00
179,9,Fleta Batz,52,School 2,Section Section 3,"34, 322, 449, 835, 956",2023-05-26 14:19:48.061406+00:00
180,11,Dean Lang,32,School 2,Section Section 4,"285, 763, 844, 907",2023-06-25 07:08:04.062928+00:00
181,10,Adan Rohan,28,School 2,Section Section 3,"34, 256, 302, 735",2023-05-29 18:38:28.064509+00:00
182,9,Brad Walsh,52,School 2,Section Section 3,"106, 123, 271, 589, 669",2023-06-30 12:21:48.066128+00:00
183,9,Devin Mann,20,School 2,Section Section 3,"132, 340, 589, 684, 696, 700, 718, 785",2023-06-02 14:04:37.067557+00:00
184,12,Rod Cremin,54,School 2,Section Section 2,790,2023-06-12 18:29:27.068974+00:00
185,12,Guy Ward,24,School 2,Section Section 4,"375, 516, 851",2023-05-31 03:01:55.070398+00:00
186,9,Velva Rowe,62,School 2,Section Section 3,"109, 269, 289, 446, 746",2023-07-08 18:52:30.071799+00:00
187,9,Tom Lakin,88,School 2,Section Section 2,"177, 361, 482, 534, 760, 940, 965",2023-07-17 12:50:52.073222+00:00
188,10,Deja Lemke,77,School 2,Section Section 1,"116, 210, 380, 529, 810, 906",2023-06-26 06:14:23.074712+00:00
189,12,Ayden Moen,35,School 2,Section Section 2,"222, 719",2023-07-21 15:58:27.076106+00:00
190,10,Mara Crona,56,School 2,Section Section 3,"199, 220, 280, 438, 715, 775, 850",2023-07-02 02:59:27.077560+00:00
191,9,Ari Feeney,61,School 2,Section Section 2,"110, 169, 358, 524, 633",2023-06-28 19:35:41.078989+00:00
192,11,Devin Mann,14,School 2,Section Section 2,"121, 130, 304, 388, 545, 602, 902",2023-06-16 18:20:55.080481+00:00
193,9,Vada Koss,80,School 2,Section Section 2,"301, 651, 941, 949, 966",2023-07-18 13:01:31.082105+00:00
194,10,Dean Lang,68,School 2,Section Section 2,"29, 167, 200, 374, 561",2023-06-21 00:50:50.083673+00:00
195,9,Vince Fay,74,School 2,Section Section 1,"128, 309, 527, 533, 547, 551, 581, 599, 616, 953",2023-06-22 01:17:11.085091+00:00
196,11,Dee Hand,53,School 2,Section Section 2,"91, 286, 310, 659, 688, 817, 991",2023-07-14 03:08:14.086490+00:00
197,10,Angie Beer,94,School 2,Section Section 1,"14, 208, 363, 773, 827, 895, 945",2023-06-17 09:34:50.088021+00:00
198,9,Janae Mohr,94,School 2,Section Section 3,"329, 336, 408, 459, 728, 821",2023-06-02 16:06:12.089425+00:00
199,11,Franz Huel,76,School 2,Section Section 2,"190, 290, 526, 790, 863, 865, 965",2023-06-25 01:30:17.090979+00:00
200,12,Arvid Bode,23,School 2,Section Section 3,"194, 493, 764",2023-07-03 03:05:29.092551+00:00
201,12,Vita Price,64,School 3,Section Section 4,"133, 303, 355, 434, 544, 567, 862, 913",2023-06-07 10:31:48.093970+00:00
202,9,Mara Crona,10,School 3,Section Section 3,"83, 207, 353, 643, 798, 806, 938",2023-07-09 18:07:43.095393+00:00
203,9,Emil Hills,52,School 3,Section Section 1,"54, 129, 451, 546, 592, 724, 881, 885",2023-06-28 00:09:09.096912+00:00
204,11,Angie Beer,47,School 3,Section Section 2,"36, 59, 93, 100, 102, 379, 414, 553, 738, 809",2023-07-06 02:04:31.098302+00:00
205,11,Neva Batz,8,School 3,Section Section 1,"536, 583, 602, 724, 760, 945, 946",2023-07-19 08:14:55.099737+00:00
206,10,Kody Morar,15,School 3,Section Section 2,"209, 332, 478, 561, 720, 881",2023-06-11 13:24:30.101170+00:00
207,12,Luis Haley,22,School 3,Section Section 2,"202, 263, 276, 311, 698, 794, 799, 854",2023-05-30 07:42:21.102694+00:00
208,10,Mia Mraz,14,School 3,Section Section 2,"197, 255, 354, 671, 852, 992",2023-07-21 23:43:28.104127+00:00
209,12,Devin Mann,90,School 3,Section Section 3,"206, 238, 286, 606, 749, 753, 832",2023-06-30 18:17:35.105551+00:00
210,10,Lura Ortiz,65,School 3,Section Section 3,"165, 188, 423, 448, 490, 513, 543, 592, 637, 682, 742",2023-06-13 03:34:30.106916+00:00
211,12,Zane Runte,42,School 3,Section Section 3,"70, 90, 373, 608, 639",2023-07-11 22:55:02.108396+00:00
212,9,Era Heaney,59,School 3,Section Section 2,"216, 247, 262, 288, 396, 655, 721",2023-07-03 04:09:39.109799+00:00
213,12,Guy Ward,28,School 3,Section Section 3,"9, 115, 160, 257, 276, 305, 314, 771, 933",2023-06-17 17:22:17.111229+00:00
214,10,Elena Lind,11,School 3,Section Section 2,"128, 158, 273, 331, 656, 774, 785, 857, 892",2023-06-30 09:35:51.112789+00:00
215,12,Rod Carter,69,School 3,Section Section 1,"168, 537, 726",2023-07-14 04:32:45.114237+00:00
216,11,Rod Cremin,55,School 3,Section Section 2,"212, 355, 359, 360, 467, 497, 756",2023-06-05 08:18:20.115633+00:00
217,10,Dovie Jast,16,School 3,Section Section 4,"23, 103, 219, 384, 395, 467, 840",2023-06-14 14:44:03.117080+00:00
218,11,Kira Walsh,3,School 3,Section Section 1,"391, 428, 510, 514, 825",2023-06-11 06:00:19.118471+00:00
219,11,Dixie Beer,66,School 3,Section Section 2,"217, 392, 415, 462",2023-06-27 05:29:57.119875+00:00
220,12,Cale Lang,30,School 3,Section Section 3,"12, 51, 172, 190, 464, 477, 570, 829",2023-06-08 15:49:51.121281+00:00
221,10,Cory Roob,96,School 3,Section Section 4,"16, 282, 308, 489, 561, 766, 811",2023-07-24 04:22:25.122706+00:00
